Title,Malicious URL Count
Just Get Ten - Get 10 Number Puzzle Offline Games,9
Clone Evolution: Cyber War-Borderlands Fantasy,8
2 Pics Quiz: Emoji Guessing Game,1
Expeditions,7
"Muslim Assistant - Prayer Times, Azan, Qibla",22
Shipt Shopper: Shop for Pay,11
Hootsuite: Schedule Posts for Twitter & Instagram,32
Mighty Networks,15
Trip Agent,16
Driving School 2016,12
Four In A Row Online | Four In A Line Puzzles,15
"TIDAL Music - Hifi Songs, Playlists, & Videos",19
Track a phone - Family Locator & GPS Tracker,15
US Smart ATV Bike Parking Multi Level,9
LINE LIVE: Broadcast your life,5
Extreme Car Driving Simulator,21
Ultimate Alexa - The Voice Assistant,26
Super High Volume Booster - Loud Sound Booster,12
Grim Soul: Dark Fantasy Survival,11
Booka - Free Illustrated Books For Children,9
"Priceline - Hotel, Car, Flight",0
"WhatSmiley - Smileys, Stickers & WAStickerApps",11
Age of Z Origins:Tower Defense,19
Yousician - Your Music Teacher,0
Dexcom Follow,1
Teen Wallpapers 10000+,3
Sausage Wars.io,24
Mr Meat: Horror Escape Room ☠ Puzzle & action game,16
PGA TOUR Golf Shootout,0
Baby Shark TV: Songs & Stories,3
My Run Tracker - The Run Tracking App,27
Garena Free Fire - 4nniversary,12
FlightAware Flight Tracker,46
Garmin Smartphone Link,14
Istation,2
Guide For Friday The 13th Game Walkthrough 2k20,6
Museu do Amanhã,14
Spectator Judging,7
LabFly,4
Step Younger+,21
Medical Terminology Dictionary:Search&Vocabulary,80
Hungry Shark Evolution - Offline survival game,14
Logo Game: Guess Brand Quiz,25
Ice Princess Mom and Baby Game,5
Slingo Arcade - Bingo & Slots,6
"Strava: Track Running, Cycling & Swimming",2
AR Interior Design Gazzda,3
Trial Xtreme 4: Extreme Bike Racing Champions,16
Beckett Mobile,16
Spin - Electric Scooters,10
Block Puzzle Woody Origin,21
CloudMall - 50% OFF Amazon Prices,20
Bid Whist Plus,16
GTL - Schedule Visits (1 of 2),1
Police Chase - The Cop Car Driver,7
eMeals - Meal Planning Recipes & Grocery List,12
Ironbound: Card Battles RPG,8
Disconnect Premium VPN,4
"theScore: Live Sports Scores, News, Stats & Videos",13
FreeCell,16
Video Maker,9
Tracks4Africa Guide,0
Kardia,0
Lifetime Movie Club,23
Baby phone - games for kids,3
Robocar Poli Rescue - Kids Game Package,5
free monthly calendar app,22
Idle Supermarket Tycoon - Tiny Shop Game,20
VPN by CyberGhost - WiFi Proxy,0
AE Bingo: Offline Bingo Games,23
Dragon Story™,30
Speak & Translate - Translator,0
Healthy Recipes,43
VITAS® Healthcare App,9
Hearthstone,10
Multi-Play Video Poker™ - Free Video Poker Games,18
EXiTS - Room Escape Game,8
CamCard - Business Card Reader,16
How to make school supplies,6
Calendly: Meeting Scheduling App,4
AlertMedia,5
Bingo Fun - 2021 Offline Bingo Games Free To Play,16
Aceable Drivers Ed,10
"Lovee Dating - Chat, Meet & Date me, Friend Finder",16
Jurassic Survival Island: Dinosaurs & Craft,10
Find the Differences Japan - Scavenger Hunt Levels,13
Solitaire - Wonderland Adventure - Tripeaks,4
Baby care,5
Draw Something Classic,0
Whale Shark Attack FPS Sniper - Shark Hunting Game,8
Quadracade - Test Your Arcade Reflexes,4
Carrom Friends : Carrom Board Game,4
Hair color changer - Try different hair colors,7
TeamViewer Pilot,0
Triller: Social Video Platform,36
Epson Print Enabler,0
Dig Dog!,16
iMovie,0
Truth Or Dare,14
Mobile Legends: Bang Bang,12
1945 Air Force: Airplane games,18
Samsung Smart Switch Mobile,19
Night Owl HD,1
US Army Robot Missile Attack: Truck Robot Games,6
Eredan Arena PVP,10
Camera Block Free - Anti spyware & Anti malware,6
Blacktail Hunter,0
Howlr,0
Bark - Monitor and Manage Your Kids Online,10
AXS Tickets,7
Coloring dinosaurs,5
Progressive Leasing Mobile,0
FedLoan Student Loans,0
Office Depot®- Rewards & Deals on Office Supplies,16
Free Ringtones 2020 🔥,7
Baby Monitor - Babywatcher,10
Ten Percent Happier - Meditation & Sleep,41
Dame Dash Studios,11
Chant,2
Word Dessert - Slide and Connect,8
OneLogin Protect,2
PredictWind - Marine Forecasts,4
Superhero Car Stunt: Car Games,5
SketchAR Create Art and get NFT instantly,22
Workplace Chat,163
亂鬥英雄志-名將風雲錄,14
AncestryDNA - Genetic Testing,8
Xfinity,2
My Red Lobster Rewards℠,4
LAMO®: AR Vinyl,0
"InSquare Pic - Photo Editor, No Crop, Collage",18
Angry Birds POP Blast,12
Barra Mobi,28
Nida Harb 3: Alliance Empire | MMO Nuclear War,10
UrbanSitter - Find a Local Caregiver You Can Trust,18
Sell on Etsy,4
Add Text: Text on Photo Editor,8
PCH Lotto,16
Auto Photo Cut Paste,6
Aceable Defensive Driving,9
bergfex/Weather App - Forcast Radar Rain & Webcams,1
Super Mario Run,7
Logo Maker: Watermark Designer,0
MDLIVE: Talk to a Doctor 24/7,9
Flash Seats,0
"Poster Maker, Flyers, Banner, Logo Ads Page Design",11
High School Crush - First Love,21
School of Dragons,20
Thrill: chat book with short stories to read,18
Kasper VPN - Secure VPN & Unlimited VPN,1
Balls Rollerz Idle 3D Puzzle,5
Identity V,18
Shadowgun War Games - Online PvP FPS,13
TikTok,17
"Intro Maker - Game Intro, Outro, Video Templates",11
Army Toy Men Survival War Shooting Counter OffRoad,5
Pro Launcher For OS 14,12
US Divorce Single Parents Meet,8
Bingo Club-Free BINGO Games Online: Fun Bingo Game,19
4x4 Off-Road Rally 7,6
Sling: Employee Scheduling App,7
